id,user_id,"firstname","lastname","city","state","country","zipcode","phone_number","description","gender",birth_day,"birth_month",birth_year,"relationship_status","occupation","school","company","website","facebook","twitter","flickr","linkedin","languages","hobbies","created_at","updated_at","sexual_orientation","most_attractive_feature","ethnicity","height","body_type","hair_color","eye_color","tattoos","piercings","zodiac","religion","exercise","smoking","drinking","kids","pets","looking_for_gender",looking_for_age_min,looking_for_age_max,"looking_for_ethnicity","looking_for_body_type","looking_for_location","looking_for_relationship_status","partner_expectation"
1,1,"Tri","Vuong","New York","New York","US","10021",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-08-29 06:53:43","2011-09-06 05:32:20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,"Tri","Vuong","Los Angeles","California","US","90042",NULL,"Canadian expat. Ruby on Rails and Github advocate. Apple's products fanatic.","male",30,"May",1984,"Single","Software Developer","University of Toronto","","http://www.trivuong.com","http://www.facebook.com/profile.php?id=100002614351968","http://twitter.com/#!/trivektor","http://www.flickr.com/photos/trivektor/","","","Ruby on Rails","2011-08-30 03:41:51","2011-09-06 05:33:53",NULL,"Rather not say","Asian","5' 7\"","Rather not say","Black","Hazel","None, absolutely not","None, absolutely not","Gemini","Buddhist / Taoist","Never","Never","","No kids","No pets","Woman",21,30,"Asian","Slim/Slender","Anywhere",NULL,"- neat
- knows how to cook (she doesn't have to be Martin Yang, as long as she knows how to cook, that's fine)
- knows how to save money
- wonderful in sex"
3,3,"Harlan","Coben","Markham","Ontario","CA","L6G 1A5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-03 18:36:29","2011-09-06 05:32:20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,4,"Dorothy","Lake","Skokie","Illinois","US","60077",NULL,NULL,NULL,19,"Oct",1980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:04","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Libra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,5,"Jennifer","Thatcher","Burbank","California","US","91502",NULL,NULL,NULL,19,"Nov",1943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:04","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,6,"Adam","Walker","Huntingdon Valley","Pennsylvania","US","19006",NULL,NULL,NULL,29,"May",2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gemini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,7,"Ruth","Yorke","New York","New York","US","10013",NULL,NULL,NULL,16,"Mar",1968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pisces",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,8,"James","Anthony","Chicago","Illinois","US","60611",NULL,NULL,NULL,5,"Nov",1953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scorpio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,9,"Marcus","Stevens","Kapaa","Hawaii","US","96746",NULL,NULL,NULL,23,"Aug",1952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Virgo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,10,"Anne","Rodriguez","Houston","Texas","US","77056",NULL,NULL,NULL,21,"Jan",1972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011-09-05 19:10:05","2011-09-06 17:27:07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aquarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
